,Sample,fastq1,fastq2,Rnase
0,ANXA2_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/ANXA2_rz_S33_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/ANXA2_rz_S33_L004_R2_001.fastq.gz,False
1,U2AF2_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/U2AF2_rz_S36_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/U2AF2_rz_S36_L004_R2_001.fastq.gz,False
2,RPS10_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/RPS10_rz_S40_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/RPS10_rz_S40_L004_R2_001.fastq.gz,False
4,G3BP2_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/G3BP2_rz_S37_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/G3BP2_rz_S37_L004_R2_001.fastq.gz,False
5,EIF3C_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/EIF3C_rz_S41_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/EIF3C_rz_S41_L004_R2_001.fastq.gz,False
6,siZC3HAV1_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siZC3HAV1_rz_S54_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siZC3HAV1_rz_S54_L004_R2_001.fastq.gz,False
7,RBM17_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/RBM17_rz_S34_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/RBM17_rz_S34_L004_R2_001.fastq.gz,False
8,siDCP1A_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siDCP1A_rz_S44_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siDCP1A_rz_S44_L004_R2_001.fastq.gz,False
11,siRBM17_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siRBM17_rz_S48_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siRBM17_rz_S48_L004_R2_001.fastq.gz,False
16,ZC3HAV1_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/ZC3HAV1_rz_S39_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/ZC3HAV1_rz_S39_L004_R2_001.fastq.gz,False
17,siLARP4_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siLARP4_rz_S45_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siLARP4_rz_S45_L004_R2_001.fastq.gz,False
19,DDX19A_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/DDX19A_rz_S38_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/DDX19A_rz_S38_L004_R2_001.fastq.gz,False
22,siRBM15_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siRBM15_rz_S47_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siRBM15_rz_S47_L004_R2_001.fastq.gz,False
26,siU2AF2_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siU2AF2_rz_S50_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siU2AF2_rz_S50_L004_R2_001.fastq.gz,False
28,Undetermined,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/Undetermined_S0_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/Undetermined_S0_L004_R2_001.fastq.gz,True
29,siLARP4B_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siLARP4B_rz_S43_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siLARP4B_rz_S43_L004_R2_001.fastq.gz,False
30,siDDX52_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siDDX52_rz_S49_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siDDX52_rz_S49_L004_R2_001.fastq.gz,False
31,LARP4B_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/LARP4B_rz_S30_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/LARP4B_rz_S30_L004_R2_001.fastq.gz,False
34,THOC1_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/THOC1_rz_S29_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/THOC1_rz_S29_L004_R2_001.fastq.gz,False
36,siDDX19A_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siDDX19A_rz_S53_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siDDX19A_rz_S53_L004_R2_001.fastq.gz,False
37,HEK_arr,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/HEK_arr_S57_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/HEK_arr_S57_L004_R2_001.fastq.gz,True
40,HEK_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/HEK_rz_S56_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/HEK_rz_S56_L004_R2_001.fastq.gz,False
42,siTOB2_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siTOB2_rz_S52_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siTOB2_rz_S52_L004_R2_001.fastq.gz,False
43,siANXA2_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siANXA2_rz_S46_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siANXA2_rz_S46_L004_R2_001.fastq.gz,False
44,DCP1A_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/DCP1A_rz_S31_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/DCP1A_rz_S31_L004_R2_001.fastq.gz,False
48,DDX52_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/DDX52_rz_S35_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/DDX52_rz_S35_L004_R2_001.fastq.gz,False
49,siNT_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siNT_rz_S55_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siNT_rz_S55_L004_R2_001.fastq.gz,False
51,siG3BP2_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siG3BP2_rz_S51_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siG3BP2_rz_S51_L004_R2_001.fastq.gz,False
52,siTHOC1_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siTHOC1_rz_S42_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siTHOC1_rz_S42_L004_R2_001.fastq.gz,False
54,LARP4_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/LARP4_rz_S32_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/LARP4_rz_S32_L004_R2_001.fastq.gz,False
